title,Year,rating
56. Apocalypse Now,1979,8.4
57. Memento,2000,8.4
58. WALL¡¤E,2008,8.4
59. Raiders of the Lost Ark,1981,8.4
60. Das Leben der Anderen,2006,8.4
61. 12th Fail,2023,8.8
62. Sunset Blvd.,1950,8.4
63. Avengers: Infinity War,2018,8.4
64. Paths of Glory,1957,8.4
65. Spider-Man: Into the Spider-Verse,2018,8.4
66. Witness for the Prosecution,1957,8.4
67. The Shining,1980,8.4
68. The Great Dictator,1940,8.4
69. Aliens,1986,8.4
70. Inglourious Basterds,2009,8.4
71. The Dark Knight Rises,2012,8.4
72. Coco,2017,8.4
73. Amadeus,1984,8.4
74. Toy Story,1995,8.3
75. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3
76. Oldeuboi,2003,8.3
77. American Beauty,1999,8.3
78. Avengers: Endgame,2019,8.4
79. Das Boot,1981,8.4
80. Good Will Hunting,1997,8.3
81. Braveheart,1995,8.3
82. Mononoke-hime,1997,8.3
83. Kimi no na wa.,2016,8.4
84. Tengoku to jigoku,1963,8.4
85. Joker,2019,8.4
86. 3 Idiots,2009,8.4
87. Once Upon a Time in America,1984,8.3
88. Singin' in the Rain,1952,8.3
89. Capharna¨¹m,2018,8.4
90. Idi i smotri,1985,8.3
91. Requiem for a Dream,2000,8.3
92. Toy Story 3,2010,8.3
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3
94. Jagten,2012,8.3
95. Eternal Sunshine of the Spotless Mind,2004,8.3
96. Ikiru,1952,8.3
97. 2001: A Space Odyssey,1968,8.3
98. Reservoir Dogs,1992,8.3
99. Lawrence of Arabia,1962,8.3
100. The Apartment,1960,8.3
101. Incendies,2010,8.3
102. Scarface,1983,8.3
103. North by Northwest,1959,8.3
104. Double Indemnity,1944,8.3
105. Citizen Kane,1941,8.3
106. M - Eine Stadt sucht einen M?rder,1931,8.3
107. Vertigo,1958,8.3
108. Heat,1995,8.3
109. Full Metal Jacket,1987,8.2
110. Oppenheimer,2023,8.3
111. Up,2009,8.3
112. Le fabuleux destin d'Am¨¦lie Poulain,2001,8.3
113. A Clockwork Orange,1971,8.2
114. To Kill a Mockingbird,1962,8.3
115. Jodaeiye Nader az Simin,2011,8.3
116. The Sting,1973,8.3
117. Die Hard,1988,8.2
118. Indiana Jones and the Last Crusade,1989,8.2
119. Taare Zameen Par,2007,8.3
120. Metropolis,1927,8.3
121. Snatch,2000,8.2
122. 1917,2019,8.2
123. L.A. Confidential,1997,8.2
124. Ladri di biciclette,1948,8.3
125. Der Untergang,2004,8.2
126. Hamilton,2020,8.3
127. Taxi Driver,1976,8.2
128. Dangal,2016,8.3
129. The Wolf of Wall Street,2013,8.2
130. Batman Begins,2005,8.2
131. Per qualche dollaro in pi¨´,1965,8.2
132. Green Book,2018,8.2
133. Some Like It Hot,1959,8.2
134. The Truman Show,1998,8.2
135. Judgment at Nuremberg,1961,8.3
136. The Kid,1921,8.2
137. The Father,2020,8.2
138. Shutter Island,2010,8.2
139. All About Eve,1950,8.2
140. There Will Be Blood,2007,8.2
141. Jurassic Park,1993,8.2
142. Casino,1995,8.2
143. Top Gun: Maverick,2022,8.2
144. The Sixth Sense,1999,8.2
145. Ran,1985,8.2
146. El laberinto del fauno,2006,8.2
147. No Country for Old Men,2007,8.2
148. Unforgiven,1992,8.2
149. The Thing,1982,8.2
150. A Beautiful Mind,2001,8.2
151. Kill Bill: Vol. 1,2003,8.2
152. The Wild Robot,2024,8.3
153. The Treasure of the Sierra Madre,1948,8.2
154. Y?jinb?,1961,8.2
155. Prisoners,2013,8.2
156. The Great Escape,1963,8.2
157. Finding Nemo,2003,8.2
158. Monty Python and the Holy Grail,1975,8.2
159. Hauru no ugoku shiro,2004,8.2
160. The Elephant Man,1980,8.2
161. Rash?mon,1950,8.2
162. Dial M for Murder,1954,8.2
163. Gone with the Wind,1939,8.2
164. Chinatown,1974,8.1
165. El secreto de sus ojos,2009,8.2
"166. Lock, Stock and Two Smoking Barrels",1998,8.1
167. Inside Out,2015,8.1
168. V for Vendetta,2005,8.1
"169. Three Billboards Outside Ebbing, Missouri",2017,8.1
170. Raging Bull,1980,8.1
171. Klaus,2019,8.2
172. Trainspotting,1996,8.1
173. The Bridge on the River Kwai,1957,8.1
174. Catch Me If You Can,2002,8.1
175. Fargo,1996,8.1
176. Warrior,2011,8.1
177. Spider-Man: No Way Home,2021,8.2
178. Gran Torino,2008,8.1
179. Harry Potter and the Deathly Hallows - Part 2,2011,8.1
180. Million Dollar Baby,2004,8.1
181. Tonari no Totoro,1988,8.1
182. Mad Max: Fury Road,2015,8.1
183. Ben-Hur,1959,8.1
184. Bacheha-ye aseman,1997,8.2
185. Barry Lyndon,1975,8.1
186. 12 Years a Slave,2013,8.1
187. Blade Runner,1982,8.1
188. Before Sunrise,1995,8.1
189. The Grand Budapest Hotel,2014,8.1
190. Hacksaw Ridge,2016,8.1
191. Dead Poets Society,1989,8.1
192. Gone Girl,2014,8.1
193. Salinui chueok,2003,8.1
194. In the Name of the Father,1993,8.1
195. The Gold Rush,1925,8.1
196. Maharaja,2024,8.5
"197. Monsters, Inc.",2001,8.1
198. Relatos salvajes,2014,8.1
199. Ratatouille,2007,8.1
200. How to Train Your Dragon,2010,8.1
201. The Deer Hunter,1978,8.1
202. Jaws,1975,8.1
203. Sherlock Jr.,1924,8.2
204. The General,1926,8.1
205. Mary and Max.,2009,8.1
206. On the Waterfront,1954,8.1
207. Le salaire de la peur,1953,8.1
208. Ford v Ferrari,2019,8.1
209. Smultronst?llet,1957,8.1
210. Mr. Smith Goes to Washington,1939,8.1
211. The Third Man,1949,8.1
212. Logan,2017,8.1
213. Rocky,1976,8.1
214. T?ky? monogatari,1953,8.1
215. The Big Lebowski,1998,8.1
216. Det sjunde inseglet,1957,8.1
217. Spotlight,2015,8.1
218. Room,2015,8.1
219. The Terminator,1984,8.1
220. Hotel Rwanda,2004,8.1
221. Platoon,1986,8.1
222. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
223. La haine,1995,8.1
224. Jai Bhim,2021,8.7
225. La passion de Jeanne d'Arc,1928,8.1
226. Before Sunset,2004,8.1
227. The Best Years of Our Lives,1946,8.1
228. The Exorcist,1973,8.1
229. Rush,2013,8.1
230. The Incredibles,2004,8
231. The Wizard of Oz,1939,8.1
232. Un condamn¨¦ ¨¤ mort s'est ¨¦chapp¨¦ ou Le vent souffle o¨´ il veut,1956,8.2
233. Network,1976,8.1
234. Stand by Me,1986,8.1
235. Hachi: A Dog's Tale,2009,8.1
236. The Sound of Music,1965,8.1
237. Babam ve Oglum,2005,8.2
238. To Be or Not to Be,1942,8.1
239. Ah-ga-ssi,2016,8.1
240. Into the Wild,2007,8.1
241. La battaglia di Algeri,1966,8.1
242. The Iron Giant,1999,8.1
243. The Grapes of Wrath,1940,8.1
244. Groundhog Day,1993,8
245. Amores perros,2000,8
246. Rebecca,1940,8.1
247. The Help,2011,8.1
248. Cool Hand Luke,1967,8
249. Koe no katachi,2016,8.1
"250. Paris, Texas",1984,8.1
